Plan	Expected NPV	Expected Cost	Investment Risk	Pareto?
{1=2, 2=1, 3=B,D,I,L, 4=C,E,F,N, 5=A,H,J,M,O, 9=K, 10=G}	1042.93	1368.45	0.1601778093965297	No
{1=1,J,M, 2=2,A,B,C,L, 3=D,E,F, 4=I,K, 5=H,N, 7=O, 9=G}	1704.09	1138.08	0.10843547573668709	No
{1=1,2,A, 3=F,I,N, 4=K,M, 5=B,G,H,L, 6=D,E,J, 7=O, 8=C}	1040.76	1276.83	0.15860660539513427	No
{1=1,2,A,I, 2=C,F,H, 3=J,K, 4=E,L,M, 5=B,D,G,N, 6=O}	1587.57	1291.99	0.11162502058440547	No
{1=2,J, 2=1,M, 3=D,K,L, 4=B,C,F,H,O, 5=A,E,G,I, 6=N}	1604.67	1319.85	0.11360502391637578	No
{1=1,2,A,I, 2=K,L,N, 3=D,H, 4=F,O, 5=B,E,J, 6=C,G,M}	1555.86	1056.78	0.11516164751950272	No
{1=1,2, 2=D,H,I, 3=F, 4=C,O, 5=A,E,G, 6=B,J,K, 8=L, 9=M,N}	840.18	1187.43	0.1869058036008389	No
{2=1,J, 3=2,I,L, 4=C,E, 5=F, 6=A,D,H,M,N, 7=B,G,K,O}	953.44	1191.47	0.17340935573632002	No
{1=A,J,N, 2=1,2,I, 3=D,M, 4=E,H,O, 5=C,F,L, 6=B,G, 7=K}	1398.06	1067.56	0.12444375265141908	No
{1=1,2, 2=D,F,N, 3=G,K, 4=B,E, 5=H,I,J,O, 6=A,C, 7=M, 8=L}	1118.22	1258.08	0.14745544151713172	No
{1=2,M, 2=1,A, 3=F,L,N, 4=B,J, 5=D,E,H, 6=C,O, 8=K, 9=I, 10=G}	1017.36	994.28	0.1657685935035137	No
{1=1,2, 2=A,C,I,M, 3=B,K,N, 4=D,L, 5=F,H,O, 6=G, 7=E, 12=J}	1208.75	1095.1	0.13996892001706454	No
{1=1,2,J, 2=D,K, 3=I,L, 4=F, 5=A,B,C, 6=H,M,N,O, 7=E, 8=G}	1299.53	1009.93	0.13544328544276538	No
{1=1,2,M, 2=E,I,N, 3=C,F, 4=A,H,L, 5=D,G, 6=J,K, 7=B, 8=O}	1302.22	994.2	0.1321618302146927	No
{1=1,2, 2=D,I,J, 3=F, 5=A,C,L,O, 6=E, 7=B,G,H, 8=N, 10=K, 11=M}	671.69	981.95	0.23562869977352294	No
{1=1,A, 2=2,I, 3=C, 4=F,M, 5=D,E,G, 6=K,N,O, 7=H,J, 8=B, 11=L}	630.19	1115.04	0.23467633342450175	No
{1=1,J,M, 2=2,A,B,C,L, 3=D,F, 4=I,K,N,O, 5=E,H, 6=G}	1822.98	1172.27	0.10253915661164874	No
{1=2,M, 2=1, 3=A,L,N, 4=F,J, 5=C,D,H, 6=B,O, 7=E, 8=K, 9=I, 10=G}	887.79	887.1	0.18703229247325157	No
{1=1,2,M, 2=B,C,H,N, 3=E,F,I, 4=K, 5=A,D,L, 6=O, 9=G, 10=J}	1271.42	1118.8	0.1345996105768783	No
{1=1,2, 2=F, 3=C,D,I,L, 4=B,H,J,M, 5=A,G,K,N, 6=E,O}	1371.36	1328.72	0.1278971275236323	No
{1=1,2,A, 2=C,N, 3=F,M, 4=E,G,J, 5=B,D,H,L, 6=I,K, 12=O}	1102.65	1250.36	0.15046066655632429	No
{1=1,2,A, 2=E,L, 3=B,C,D, 4=F,H,J, 5=G,I,M,N, 6=O, 8=K}	1373.89	1174.76	0.12745405643848925	No
{1=1,2,I, 2=A,C,J,N, 3=B,D,M, 4=E,F,L, 5=O, 6=G, 7=H, 8=K}	1443.5	1188.12	0.12064990504646887	No
{1=1,J, 2=2,A,B,I, 3=D, 4=C,F,N,O, 5=H,L, 6=K,M, 7=E, 8=G}	1262.47	1041.84	0.1352982190005788	No
{1=1,2,A,N, 2=M, 3=L, 4=E, 5=H,J,K, 6=B,C,D,F,I, 7=G,O}	1118.62	1224.56	0.1506395530978316	No
{1=1,J, 2=H,I,K, 3=2, 4=D,F, 5=A,B, 6=L, 7=O, 8=E,G,M,N, 9=C}	966.58	1014.62	0.1708554735696617	No
{1=1,2,M, 2=F,H,I,N, 3=C, 4=A,E,L, 5=D, 6=G,J,K, 7=B, 8=O}	1278.11	1127.86	0.13419253098364292	No
{1=1,2, 2=D,H, 3=M,O, 4=A,C,F,I,L, 5=J,K,N, 6=B,E, 7=G}	1281.81	1256.17	0.13463290412219592	No
{1=2,A,J, 2=1,M, 3=F,I,L,N, 4=B,E, 5=D,H, 6=G, 8=C,K,O}	1305.46	999.62	0.13349561693138415	No
{1=1,2,N, 2=A,D, 3=B,C,F,I, 4=E,G, 5=J,O, 6=K, 7=L,M, 8=H}	1137.59	1060.65	0.14403573733744143	No
