A,-300,20,20,25,25,25,35,35,40,40,40,45,45,45,45,45,45,45,45,45
B,-200,-200,30,45,50,70,80,80,80,80,80,80,80,80,80,80,80,80,80,80
C,-250,-250,55,65,85,105,111,120,120,120,120,120,120,120,120,120,120,120,120,120
D,-300,-250,50,60,80,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
E,-150,15,25,30,35,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
F,-200,20,22,27,35,45,48,50,50,50,50,50,50,50,50,50,50,50,50,50
G,-200,-250,50,55,57,61,69,81,90,100,100,100,100,100,100,100,100,100,100,100
H,-350,50,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
I,-100,10,15,25,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
J,-150,20,23,25,35,38,40,40,40,40,40,40,40,40,40,40,40,40,40,40
K,-300,20,20,25,25,25,35,35,40,40,40,45,45,45,45,45,45,45,45,45
L,-200,-200,30,45,50,70,80,80,80,80,80,80,80,80,80,80,80,80,80,80
M,-250,-250,55,65,85,105,111,120,120,120,120,120,120,120,120,120,120,120,120,120
N,-300,-250,50,60,80,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
O,-150,15,25,30,35,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
A,297.9,31.03,,,,,A,32.7,14.7,,,,,,,,,,,
B,354.5,34.4,,,,,B,66.4,18.7,,,,,,,,,,,
C,340.4,44.7,,,,,C,98.6,24.2,,,,,,,,,,,
D,383.2,47.7,,,,,D,93.2,39.2,,,,,,,,,,,
E,146.5,24.3,,,,,E,29.7,13.1,,,,,,,,,,,
F,203.5,29.4,,,,,F,42.7,21.1,,,,,,,,,,,
G,399.8,28.1,,,,,G,76.2,31.7,,,,,,,,,,,
H,306,36.9,,,,,H,66.9,20.8,,,,,,,,,,,
I,89.6,19.5,,,,,I,22.1,12.5,,,,,,,,,,,
J,146.9,20.8,,,,,J,28.5,11.1,,,,,,,,,,,
K,256.3,36.8,,,,,K,30.57,11.5,,,,,,,,,,,
L,346.7,25.4,,,,,L,75.5,19.2,,,,,,,,,,,
M,399.4,47.1,,,,,M,95.78,20.33,,,,,,,,,,,
N,410.23,35.2,,,,,N,101.25,15.2,,,,,,,,,,,
O,127.8,17.9,,,,,O,26.3,11.8,,,,,,,,,,,
