Plan	Expected NPV	Expected Cost	Investment Risk	Pareto?
{1=1, 2=A,2,3, 3=D,F,4, 4=C,E,G, 5=B,H}	7434.17	2263.31	0.04980208603568397	No
{1=2,H, 2=1,3,4, 3=A, 4=D, 7=B, 8=F, 10=C,E, 11=G}	4757.11	1467.18	0.06653870630565768	No
{1=3, 2=1,2,4, 3=A, 4=D,F, 5=E,G, 6=C, 7=H, 8=B}	5985.12	1887.04	0.05662824817594399	No
{1=1,2,4, 2=A,3,H, 3=D, 4=E,F, 5=B, 6=C,G}	7270.35	1870.59	0.0498670805606859	No
{1=1,2, 2=A,3,H, 3=D, 4=B,F, 5=G, 6=C,4, 7=E}	7069.84	1589.78	0.05077094237520115	No
{1=1,3, 2=A,F,4, 3=G,H, 4=C,2, 5=B,D, 8=E}	7251.8	1591.81	0.05083896336757956	No
{1=1,3, 2=2, 3=4,H, 4=D, 5=A,F, 6=B,E, 7=G, 9=C}	5813.58	1813.62	0.05670425775004563	No
{1=1, 2=A,2,4, 3=D,H, 4=3, 5=F, 6=G, 7=E, 8=B,C}	5942.54	1594.4	0.05614911084943569	No
{1=1,3, 2=A,2,F, 3=D, 4=4,H, 5=B, 6=E, 7=G, 8=C}	6459.2	1563.73	0.052721946770072095	No
{1=1,2, 2=A,3,4, 3=D,H, 4=F, 5=B,E, 7=C, 10=G}	6450.85	2030.81	0.053991665212977456	No
{1=2,4, 2=1,H, 3=D,3, 4=A,E,F, 5=C, 6=G, 7=B}	7184.96	1933.75	0.05091129395068534	No
{1=3, 2=1, 3=A,2,4, 4=D, 5=F, 6=B, 7=E, 8=C,G, 10=H}	4727.94	1598.13	0.06584547672506746	No
{1=H, 2=2, 3=1,D,3, 4=F, 5=4, 6=A, 7=G, 13=B,E, 15=C}	3735.41	1227.88	0.07317355317557568	No
{1=2,3,H, 2=1,F, 3=A,G, 5=D,4, 6=B,C,E}	7345.49	1780.29	0.04917873230700688	No
{1=1,2, 2=A,4, 3=3,H, 4=F, 5=D, 6=G, 8=E, 10=B,C}	5187.69	1464.3	0.06070569239923032	No
{1=1,2,4, 2=A,3, 3=F, 4=B,D, 5=C,G,H, 6=E}	6898.89	2197.39	0.051878926766334134	No
{1=2,3,H, 2=1,4, 4=D,F, 5=A, 6=C,E, 8=G, 9=B}	6405.62	1732.29	0.055216473001300594	No
{1=1,2, 2=A,3,4, 3=H, 4=F, 5=G, 6=D, 8=E, 10=B,C}	5182.87	1409.12	0.06056034673084412	No
{1=1,2,3, 2=A,F, 4=4,H, 5=D, 6=E, 7=B,G, 8=C}	6068.91	1524.15	0.05509822494609845	No
{1=1,3, 2=A,F, 3=B,C,2, 4=D,4, 5=E,G,H}	7625.54	2017.94	0.04948643208832636	No
{1=1,3,4, 2=2, 3=D, 4=A, 6=C,F,H, 7=B,E,G}	5640.31	2298.22	0.059715635211131615	No
{1=1,2,3, 2=D,4, 3=F,H, 5=A,E,G, 6=B, 8=C}	6701.72	2033.77	0.051433112384763266	No
{1=1,2,3, 2=A,F,H, 3=4, 4=G, 5=B,D, 6=E, 9=C}	6685.94	1680.73	0.050957417109487396	No
{1=3,H, 2=1, 3=A,2,F,4, 4=B, 5=C, 6=D,G, 8=E}	7003.09	1268.23	0.05204208181409348	No
{1=1,2,3, 2=F, 3=A,G,4, 4=B,D, 5=C,E, 6=H}	7129.63	2024.22	0.050190706287787365	No
{2=1,2,3, 3=A,F,4, 4=G, 7=D, 8=B,C, 10=H, 11=E}	4312.48	1679.72	0.07040679360367813	No
{1=2,3, 2=1, 3=A,4, 4=C, 5=H, 7=F, 8=D, 9=B,G, 10=E}	4882.81	1451.12	0.07003885586011727	No
{1=1,2,3, 2=4, 3=A,F,H, 5=D, 7=B, 8=C, 9=G, 10=E}	5394.03	1642.59	0.061115908365037816	No
{1=2,3,4, 2=1,F, 3=D, 5=A, 6=G, 7=B,C,H, 8=E}	5669.28	1936.47	0.05821079074396415	No
{1=1,H, 2=A,2, 4=D,3,4, 5=B,F, 6=C, 8=E,G}	6543.57	1587.06	0.054190880300734504	No
{1=1,2,3, 2=4, 3=A,F,H, 4=D,G, 5=C, 6=B,E}	7076.26	1840.14	0.05106781283128796	No
{1=1,2,3, 2=A,F,4, 3=B,G,H, 5=D, 6=C, 8=E}	7086.06	1871.03	0.05027073993258146	No
{1=2, 2=1,3,H, 3=A,F, 4=B, 5=C,D,G, 9=4, 10=E}	6763.95	1675.95	0.05327089336000983	No
{1=1,3, 2=A, 3=2,4, 4=H, 5=B,D,F, 6=E, 7=C,G}	6116.75	1975.1	0.05550543586753007	No
{1=2,3,4, 2=1,D, 3=F, 4=A,G, 5=B,E, 7=C, 9=H}	6141.65	1844.12	0.054499573624205704	No
{1=1,H, 2=A,2,4, 3=3, 4=B,D,F, 5=E, 6=C, 7=G}	7232.17	1733.13	0.050213808526860505	No
{1=1,H, 2=A,2,4, 3=3, 4=B,D,F, 5=E,G, 6=C}	7406.03	1782.47	0.04920376273132151	No
{1=1,2, 2=A,3,4, 3=H, 4=D,F, 5=C,E,G, 9=B}	6746.77	2185.45	0.05308885265812307	No
{1=1,2,3, 2=A, 3=B,D, 4=F, 5=C,G,4, 6=E, 7=H}	6668.45	1837.05	0.05306047946599745	No
{1=1,2,3, 2=A,4, 4=B, 5=D,F, 6=E,H, 8=G, 9=C}	5448.16	2128.55	0.059114560219583036	No
{1=1,2,3, 2=4, 3=A,F,H, 4=G, 5=D, 6=C,E, 9=B}	6504.57	1824.32	0.05376590139753365	No
{1=1,4,H, 2=A,2,3, 3=D, 4=F, 5=E,G, 6=C, 9=B}	6992.2	1532.97	0.05139889536440591	No
{1=1,2,3, 3=A,D,4, 4=F,H, 5=E,G, 7=B, 10=C}	5949.81	1958.98	0.054395881077309936	No
{1=2, 2=1,3, 3=A,F,4, 7=D, 8=B,C, 10=H, 11=E, 13=G}	3546.31	1846.38	0.08457480538891214	No
{1=1,3, 3=A,2,4, 4=B,H, 5=C,D,F, 6=E, 7=G}	6545.97	2235.94	0.05426711827756209	No
{1=1,4, 2=A,2,3, 3=F, 4=B,D, 5=G,H, 6=C,E}	6720.39	2001.49	0.05220045549356248	No
{2=2,3,H, 3=1,F, 4=A,4, 5=B,D, 8=E, 9=G, 11=C}	5476.71	1485.02	0.0581577102880191	No
{1=3,4,H, 2=1,2, 3=F, 4=A,D,G, 6=C, 7=B, 9=E}	6707.07	1488.37	0.05285075598801267	No
{1=1,2,3, 2=A, 3=B,D, 4=4, 5=C, 6=E,F, 7=G,H}	6272.06	1813.47	0.0557902073728631	No
{1=1,2, 2=A,H, 3=B,4, 4=3, 6=C,F, 8=D,G, 9=E}	5977.68	1533.93	0.05804987109621188	No
{1=1,3,H, 2=2,F,4, 3=D,G, 4=E, 7=A, 8=B,C}	7103.47	1480.39	0.04930065239233398	No
{1=1, 2=4, 3=A,2,3, 4=F, 5=B,C, 6=G, 7=D, 8=E,H}	5559.88	1793.33	0.06100117305123202	No
{1=1,3, 2=H, 3=A,2,F,4, 4=B,D, 5=G, 6=E, 7=C}	7004.67	1773.24	0.05041508319701362	No
{1=1,2,3, 2=A,F, 3=D,H, 4=4, 5=B,C,G, 6=E}	7333.85	2001.27	0.049875195161623136	No
{1=1,2,3, 2=A,F,H, 3=D,4, 4=B, 5=C,G, 6=E}	7600.44	1660.28	0.04871320501047175	No
{1=1,3, 3=2, 4=A,F,H, 5=4, 6=B,D, 7=G, 8=E, 10=C}	5181.43	1747.68	0.06057639972995084	No
{1=1,2,4, 2=A, 3=C,3, 4=F,H, 5=D,G, 7=E, 9=B}	6593.33	1694.19	0.05549448938871207	No
{1=1,3, 3=A,2,4, 4=D,H, 5=F, 7=B,G, 8=E, 10=C}	5182.93	1762.3	0.06050064673797108	No
{1=3,H, 2=1,2,F, 3=4, 4=A,G, 5=D, 6=C,E, 7=B}	7121.78	1341.59	0.05046388323390782	No
{1=1,2, 2=3,4, 3=F,H, 4=A,D, 5=B, 6=C,G, 7=E}	6658.73	1686.25	0.053023078742150224	No
{1=3,4,H, 2=1,F, 3=A,2, 4=D, 5=C,G, 6=B,E}	7439.76	1322.49	0.049569179126559004	No
{1=1,3,H, 2=A, 3=B, 4=2,F, 5=4, 6=C, 8=D, 10=E, 15=G}	5667.62	1020.49	0.06164851871200525	No
{1=3, 3=1,2, 4=D,F,4, 5=A,H, 6=B, 7=E, 8=C,G}	5564.6	1728.48	0.058881424228881055	No
{1=1,2, 2=A,3,4, 3=F,H, 4=B,D,G, 5=E, 9=C}	6734.42	2051.68	0.0505439885599469	No
{1=3, 2=1,2,F, 3=A,G, 4=B,C,4, 5=H, 6=D, 14=E}	6147.11	1660.49	0.05780507957547363	No
{1=1,3, 2=2,4, 3=A,F,H, 4=C,D,G, 7=B,E}	7030.13	2173.43	0.0521180049668485	No
{1=1,2, 3=A,D, 4=H, 5=C,3,4, 7=B,E,F, 9=G}	5910.22	2066.99	0.058902638053541394	No
{1=1,2, 2=A,4, 3=3,H, 4=F, 6=D,G, 8=E, 9=C, 10=B}	5270.68	1566.08	0.060946762114345084	No
{1=1,2,3, 2=D,4, 3=A,F,H, 4=B, 5=C,E,G}	7511.95	2233.27	0.049060900940039155	No
{1=1,3, 2=4,H, 3=A,2, 6=D,F, 7=G, 8=E, 9=B, 13=C}	4510.71	1576.66	0.06502356831880887	No
{1=1, 2=3,4, 3=A,2, 4=F,H, 5=C,D,G, 6=B,E}	6626.04	2122.3	0.053580071032405696	No
{1=1,3, 2=H, 3=A,2,4, 5=D,F, 6=E, 7=B,G, 10=C}	5682.61	1606.9	0.05687947635553925	No
{1=1,3, 2=H, 3=A, 4=2,F,4, 6=C,G, 8=B,D, 10=E}	5705.32	1450.4	0.0599281639475702	No
{1=1,2,3, 2=4,H, 3=A,D,F, 5=E,G, 6=B, 7=C}	7018.64	1931.31	0.05034100801489545	No
