Plan	Expected NPV	Expected Cost	Investment Risk	Pareto?
{1=2, 2=1,E,F,J, 3=B,D,I,K,M, 4=A, 5=C,G,L,N, 6=O, 7=H}	1527.31	1418.95	0.11565647561162093	No
{1=1,2, 2=D,I, 3=A,C,F,H,M,O, 4=B,E,L,N, 5=J, 6=G,K}	1486.49	1345.82	0.11747235823714476	No
{1=1,2,J, 3=D,I,L,M, 4=A,F,K, 5=E,H,O, 7=B,C,G,N}	1332.63	1201.07	0.1319843887785299	No
{1=1,2,J,M, 2=A,N, 3=B,D,E,F,H,I, 4=C,G,K, 6=L,O}	1690.37	1458.77	0.10587017326942214	No
{1=1,2,A, 2=B,E,F,H,I,J,K,L, 3=D, 5=C,G, 6=M, 7=N, 9=O}	1725.66	1426.04	0.10593170872316016	No
{1=1, 2=2,B,C, 3=A,D,E,H,J,K,L,M,N, 5=F,I,O, 6=G}	1665.51	1611.41	0.10784908788225096	No
{1=1,2,I, 2=C,D,E,F,N, 3=B,H,M, 4=G,J,K, 5=A,O, 6=L}	1661.22	1433.19	0.10678230364146367	No
{1=1,2, 2=A,C,D,E,F,I,J,L, 3=B,G,H,M,N,O, 6=K}	1959.4	1644.49	0.09550654482099893	No
{1=1,2, 2=B,F,H,J,K, 3=C,D,L,N, 4=I,O, 5=E,G,M, 8=A}	1694.88	1299.08	0.10711035599711358	No
{1=1,2,M, 2=D,F,H,I, 3=A,C,E,G,K,L,N,O, 5=B,J}	1898.25	1627.79	0.09787227470541715	No
{1=1,2,M, 2=D,F,I,J,K,N, 3=A,B,C,E,G,H,L,O}	2105.12	1840.37	0.09054979625165185	No
{1=2,M, 2=1,F,I,N, 3=A,C,J,K, 4=B,D,E,G,H,L, 5=O}	1744.8	1597.61	0.10413057647893996	No
{1=1,2, 2=A,B,C,D,E,H,J,K,L,N, 3=F,O, 4=I,M, 5=G}	2030.06	1508.34	0.0925573825146139	No
{1=1,2,I, 2=A,J,K, 3=B,C,D,E,F,M,N, 4=G,H,O, 6=L}	1758.5	1577.96	0.10200338709165625	No
{1=1,2,A, 2=C,D,F,H,J,K,M, 3=I,N, 4=E,G,O, 6=B,L}	1756.4	1447.07	0.10254599043407803	No
{1=1,2, 2=B,F,H,I,J,N, 3=C,D,G,L,M, 4=K,O, 5=E, 8=A}	1805.35	1416.08	0.10228023249699691	No
{1=1, 2=2,C,K,L, 3=A,M,N, 4=D,F,I, 5=B,G, 6=H, 7=E, 8=J, 9=O}	1266.59	995.38	0.13622858874808627	No
{1=1,2, 2=D,E,F,H,L, 3=A,G,M,O, 4=C,I,J,N, 5=B,K}	1770.0	1308.93	0.1037325949859079	No
{1=1,2, 2=A,F,H,L, 3=B,C,D,E,M, 4=G,I,J,N, 6=K, 9=O}	1566.42	1377.63	0.11448302347235408	No
{1=1,2, 2=C,D,E,F,H,I,J,K,L,N, 3=B, 4=G, 5=A, 7=O, 9=M}	1778.22	1573.28	0.10266696275009704	No
{1=1,2,M, 2=B,D,F,H,I,J, 3=A,E,G,K,L,N,O, 4=C}	2075.73	1757.09	0.09152962688983861	No
{1=1,2, 2=D,E,F,H,L,M, 4=A,C,G,I,J,N,O, 5=B,K}	1735.94	1556.7	0.10541621145086698	No
{1=1,2,A,I, 2=C,D,F,H,L,N, 4=E,G,J, 6=B,O, 7=K, 8=M}	1484.71	1245.26	0.11790747502877835	No
{1=1,2, 2=E,F,H,I,N, 3=A,B,D,L,M, 4=C,J,K, 5=G, 7=O}	1697.91	1472.87	0.10677624529229059	No
{1=1,2,I, 2=F, 3=D,E,G,J,K, 4=A, 5=O, 6=L,M, 7=B,C,H,N}	1257.1	1252.19	0.13531412890651678	No
{1=1,2, 2=A,B,F, 3=E,G,H,K,L,M, 4=C,D,J,N, 5=I,O}	1709.58	1496.73	0.10620811335397767	No
{1=1,2, 2=D,E,F,M,N, 3=H,L, 4=A,C,G,I, 5=B,J,K, 7=O}	1568.55	1292.25	0.1138204870398755	No
{1=1,2,M, 2=B,D,F,I,N, 3=C,J, 4=E,L,O, 5=K, 6=G,H, 7=A}	1644.26	1160.91	0.10958272160153794	No
{1=1,2,I,M, 2=D,J,N, 3=A,E,F,H,K,L, 4=B,C,G,O}	1958.7	1523.96	0.09534359175522142	No
{1=1,2,A, 2=M,N, 3=H,J,K, 4=C,D,F,I,L, 5=B,E,G,O}	1549.89	1456.8	0.113838810169263	No
{1=1,2, 3=A,D,F,N, 4=L,O, 5=H,J,M, 6=B,C,E,G,I,K}	1053.06	1498.83	0.15721185614427172	No
{1=1,2,N, 2=B,F, 3=D,H,J,K, 4=C,E,I,O, 5=G, 6=L,M, 9=A}	1414.76	1407.32	0.12138560712881949	No
{1=2, 2=1,J, 3=A,B,C,D,F,K,L,M,N, 4=E,I, 5=G,H,O}	1679.9	1470.39	0.10755987719403977	No
