Plan	Expected NPV	Expected Cost	Investment Risk	Pareto?
{1=1,2,I,J, 2=A,D,E,F,H,K,M,N, 3=B,C,L,O, 6=G}	2111.51	1661.63	0.09200639718216924	No
{1=1, 2=2,H,J, 4=C,D,E,I, 5=A,B,F,L,M,N, 6=O, 7=G,K}	1095.58	1421.79	0.15493492412862642	No
{1=2, 2=1, 3=A,B,C,D,E,F,H,I,K,M,N, 4=G,J,L,O}	1701.45	1772.6	0.10796193041645737	No
{1=1,2,I,N, 2=B,D,F,M, 3=C,E,J,L,O, 4=A,K, 6=G,H}	1847.2	1395.26	0.10201570271326574	No
{1=1,2,I,M, 2=E,F,H,J,L, 3=D,G,K,N, 4=B,C, 5=A, 6=O}	1992.26	1406.89	0.09714693267600986	No
{1=1,2,I,M, 2=D,F,J,L, 3=B,C,E,N,O, 5=H,K, 6=G, 7=A}	1857.95	1332.79	0.10278875792455251	No
{1=2, 2=1,J, 3=A,B,D,E,F,H, 4=C,I,L,M,N,O, 6=G,K}	1491.15	1542.82	0.12000474967998224	No
{1=1,2,A, 2=C,D,E,H,I,K,L, 3=F, 4=G,M,N, 5=B, 6=O, 8=J}	1709.44	1282.63	0.1081281003536987	No
{1=1, 2=2,C,L, 3=D,F,K, 4=A,H,I,J,N,O, 5=B,E,G, 6=M}	1505.85	1323.93	0.12062217506933852	No
{1=1,2,A,M, 3=C,D,E,F,N, 4=B,I,J,K, 5=G,L, 7=H, 8=O}	1430.01	1472.83	0.1243674261673725	No
{1=1,2,A,I, 2=B,F,J, 3=D,K, 4=E,H, 5=C,G,L,M,N,O}	1604.68	1403.65	0.11286903086492303	No
{1=1,2,A,I,J,N, 2=B,D,H,K, 3=F,O, 4=C,G, 5=E, 8=M, 10=L}	1507.57	1239.67	0.11535382341794398	No
{2=1,2,A, 3=B,D,F,H,I,J,K,N, 4=C,G,O, 5=M, 6=E,L}	1465.17	1449.19	0.12066081865082404	No
{1=1,2,A, 2=C,D,E,F,H,I,K,L,N, 3=J, 4=B,G,O, 8=M}	1882.99	1472.63	0.10029418751410968	No
{1=1,2,A,N, 2=C,D,E,M, 3=B,H,K, 4=F,I,J,O, 5=G, 7=L}	1635.73	1497.21	0.10986882972534893	No
{1=1,2,J,M, 2=A,B,C,D,E,F,H,I, 3=L,N,O, 5=G, 6=K}	2008.95	1516.27	0.09527544562930401	No
{1=2, 2=1,A,F,M, 3=B,D,E,H,I,J,K,L,N, 4=O, 5=G, 6=C}	1782.62	1731.15	0.10512506083596766	No
{1=1,2,I, 2=B,C,N, 3=A,E,F,J,K,M, 5=D, 6=G,H,L, 8=O}	1461.98	1443.12	0.12116367337772428	No
{1=1,2,A,N, 2=B,D, 3=F,H,I,K,O, 4=C,E,G,J, 8=M, 10=L}	1300.89	1497.16	0.12907288569988626	No
{1=1,2,J,M,N, 2=A,B,C,D,E,F,I,K,L, 3=G,O, 5=H}	2268.81	1710.71	0.087519934217103	No
{1=1,2,I,J, 2=A,E,F,L,M, 3=G,K,N, 4=C, 5=B,D,H, 7=O}	1860.36	1247.39	0.10244274218532576	No
{1=1,2, 2=F,H,I, 3=A,C,E,G,J,K,M,N, 5=B,L, 6=D, 8=O}	1532.67	1582.89	0.11739131008207676	No
{1=1,2,J,M,N, 2=A,D,E,H,I,K,L, 3=F, 4=G,O, 5=B, 9=C}	2032.43	1474.16	0.09622882601730567	No
{1=1,2,M, 2=D,I,L, 3=B,H,K,N, 4=A,C,E,F,J, 5=G, 6=O}	1776.09	1420.71	0.1063587602882605	No
{1=1,2, 2=D,F,H,M, 3=C,I,N, 4=A,K, 5=B,J,L, 6=G, 9=E,O}	1241.31	1187.46	0.14027538709063148	No
{1=1,2,I,N, 2=D,H,K, 3=B,F,O, 4=A,C,G, 5=E, 6=J, 8=M, 10=L}	1248.26	1144.42	0.13372500138028642	No
{1=1,2, 2=A,B,E,J,N, 3=H,I,L, 4=C,D,F,M, 7=G,K, 8=O}	1447.35	1311.13	0.12368762565778155	No
{1=N, 2=1,2,A, 3=B,D,E,F,H,J,K,L,M, 4=C,O, 6=G, 8=I}	1638.96	1645.98	0.1122806111307571	No
{1=1,2, 2=A,F,J,K, 3=D, 4=B,C,E,H,I,L,M,O, 7=N, 9=G}	1498.29	1639.21	0.12097853459374817	No
{1=1,2,J,M, 2=A,B,F,N, 3=D, 4=C,E,L,O, 5=I,K, 7=G, 9=H}	1575.95	1148.05	0.11553341029263155	No
{1=1,2,A,I, 2=C,D,M, 3=B,E,F,H,J,K,L,N,O, 4=G}	1991.36	1832.54	0.09602798169033962	No
{1=1,2,A,M, 2=B,F, 3=C,D,E,G,H,I,J,K,L, 5=N,O}	1922.14	1763.6	0.09884225970702405	No
{1=1,2,A, 2=D,H, 3=B,L, 4=E,F,I,J,K,M,N, 5=G,O, 6=C}	1545.47	1549.67	0.11748068367848015	No
{0=1,B,C,D,H,K,L,O, 1=2, 3=A,F,I,M,N, 4=E,G,J}	715.25	967.18	0.16657771148063172	No
{1=1,2, 2=A,B,C,D,E,F,H,I,L,M,N, 3=G, 4=K,O, 7=J}	1937.76	1558.66	0.09738448476674043	No
{1=1,2,A,I,J, 2=D,M, 3=C,E,F,H,L,N, 4=B,K,O, 8=G}	1834.82	1437.76	0.10294633599322524	No
{1=1,2, 2=A,C,F,H,L,N, 3=D,I,J, 4=M, 5=B,E,G, 7=K, 8=O}	1481.33	1165.93	0.12211591240715695	No
{1=1, 2=2,C,H,I,J,M, 3=K,L,N, 4=E, 5=A,B,D,F, 6=O, 7=G}	1585.9	1276.31	0.11554966798672045	No
{1=I, 2=1,2,J, 3=A,C,E,F,M,N, 4=B,H,K,L, 5=D, 7=G,O}	1516.57	1415.61	0.1186600363480687	No
{1=1,2,M, 2=A,B,D,F,J,K,L, 3=E,G,H,I,N,O, 7=C}	2086.97	1688.33	0.09381574091251664	No
{1=1,2,A,I, 2=B,F,J, 3=D,K,L, 4=E,H,M, 5=C,G,N,O}	1753.18	1294.83	0.1063264219966566	No
{1=1,2,A,M, 2=F, 3=N, 4=B,C,D,E,H,J,K, 5=G,I,L, 8=O}	1408.93	1508.21	0.12600767113258954	No
{1=1,2,J, 2=E, 3=A,B,C,D,F,H,K, 4=G,L,M,O, 6=I, 7=N}	1672.33	1526.03	0.11017389382546407	No
{1=1,2,N, 2=B,C,D,E,F,I,J, 3=A,G,K,L,M,O, 5=H}	2036.47	1739.1	0.09444694559203798	No
{1=1, 2=2,L, 3=C,D,F,H,I,J,K, 4=A,E,N,O, 5=B, 6=G,M}	1571.75	1377.06	0.11662480821104633	No
{1=1,2,N, 2=B,C,D,E,I,J, 3=A,K,L,M,O, 4=F,H, 5=G}	1954.36	1525.9	0.09740905126285947	No
{1=1,2,M, 2=A,B,D,J,L, 3=C,E,F,I,K, 4=H, 6=O, 7=G,N}	1819.18	1456.37	0.1045778934169123	No
{1=1,2, 2=D,I,J,K,L,M, 3=C,E,F,O, 4=A,N, 6=B,G,H}	1824.56	1384.63	0.10437840692211861	No
{1=1,2, 2=A,D,E,F,K,M,N, 3=H,I, 4=B,C,G,L, 6=O, 7=J}	1681.8	1369.43	0.10870535987620886	No
{1=1,2, 2=D,H,M, 3=B, 4=A,E,F,I,J, 5=G,K,O, 6=C,L,N}	1338.87	1370.53	0.13081179229113296	No
{1=1,2,A,I,N, 2=B,D,K, 3=F,O, 4=C,G, 5=E,H, 6=J, 8=M, 10=L}	1257.29	1045.65	0.13259074560600312	No
{1=2,I, 2=1, 3=A,B,D,E,F,H,J, 4=C,G,L,M,N,O, 6=K}	1590.66	1587.22	0.11362098699405317	No
{1=1,J, 2=2,A,C, 3=B,D,E,F,H,K,L, 4=O, 5=M,N, 6=G,I}	1669.59	1442.32	0.11055286624960559	No
{1=1,2,M, 2=C,D,H,J,K, 3=B,E,F,L,N, 4=A,I, 5=G, 6=O}	1898.65	1488.38	0.10024921366120855	No
{1=1,2, 2=A,B,D,K,N, 3=C,E,F,H,M,O, 4=L, 5=G,I,J}	1742.95	1550.97	0.10572003643510144	No
{1=1,2,M, 2=D,E,F,J,K, 3=B,C,L,N,O, 4=A,H,I, 9=G}	1863.21	1454.88	0.10212503532073819	No
{1=1,2,A,J, 2=D, 3=C,E,F,H,K, 4=L,M,O, 5=B,G, 6=I, 7=N}	1613.83	1321.42	0.11358813622559094	No
{1=1,2,A,M,N, 2=B, 3=C,D,K,L, 4=E,F,J, 5=I,O, 6=G,H}	1669.26	1224.5	0.1106336066192898	No
{1=1,I,J,N, 2=2,B, 3=D,E,F,H,K,L, 4=A,G,M, 6=C, 7=O}	1795.77	1400.06	0.10498803999214291	No
{1=1,2,N, 2=B,D,F,H,I,J,L,M, 3=C,E,O, 4=A,G,K}	2056.29	1458.31	0.09412568613972885	No
{1=1,2, 2=F,H,L,N, 3=C,D,I,J, 4=B,M, 5=E,G, 6=A, 7=K, 8=O}	1433.87	1112.12	0.1260443330867877	No
{1=1,2,N, 2=B,C,D,E,F,H,I,J, 3=A,G,K,M,O, 4=L}	2043.2	1787.35	0.09353087423686682	No
{1=1,2, 2=E,F, 3=A,C,G,J,K,M,N, 4=H, 5=B,I,L, 6=D, 8=O}	1441.5	1378.86	0.1236300501129085	No
{1=1,2, 2=B,C,F,N, 3=A,D,E,G,H,I,K,L, 4=M, 5=J, 8=O}	1690.12	1575.98	0.10890713759830453	No
{1=1,2,J, 2=A,B,C,D,F,I,L,M, 3=G,K,N, 5=E,H, 7=O}	1955.06	1399.08	0.09871550493658313	No
{1=1,2,I, 2=A,F, 3=B,D,E,L, 5=G,H,J,M,N,O, 6=C, 8=K}	1336.79	1455.03	0.1315324107887235	No
{1=1,2, 2=D,N, 3=B,C,E,H,M,O, 5=I,J,K,L, 6=F, 7=A,G}	1335.65	1501.35	0.13157718343493394	No
{1=1,2, 2=A,C,D,E,F,H,I,J,L,M,N, 3=G,K,O, 4=B}	2135.74	1665.97	0.09143737544240908	No
{1=1,2,I,M, 2=B,D,H, 3=A,F,O, 4=C,G, 5=E, 6=K, 7=J,N, 8=L}	1348.44	1041.94	0.12802043932465793	No
{1=1,2,M, 2=B,D,E,F, 3=A,G,O, 6=C,H,I,K, 7=J,N, 8=L}	1236.29	1351.28	0.1379392255431606	No
{1=1,2, 2=A,C,D,F,H,J,K,N, 5=E,G,I,L,O, 6=B, 8=M}	1455.8	1593.98	0.12229565149636201	No
{1=1,2,I, 2=B,C,F,J, 3=A,D,H, 4=M, 5=E,K,L,N, 7=G, 8=O}	1439.18	1305.67	0.12369883137295368	No
{1=1,2, 2=C,D,E,F, 3=A,B,L,N,O, 4=H,I,M, 6=J, 7=G,K}	1471.4	1256.19	0.12136457744396446	No
{1=I, 2=1,2, 3=B,E,F,J,L,M,N, 5=A,D, 6=G,H,K, 7=C,O}	1359.75	1289.62	0.13125854174786317	No
{1=1,2,A,M, 2=D,F, 3=B,C,N, 4=E,I,J,K, 5=G,L, 7=H, 8=O}	1480.54	1364.36	0.12120373189145188	No
{1=1,2, 2=C,D,I,L, 3=A,H,K, 4=B,E,F,J,M,N,O, 5=G}	1728.4	1625.16	0.10802744020975652	No
{1=1,2, 2=A, 3=B,D,E,F,H,J,K,M,N, 4=C, 5=I,L, 6=G, 8=O}	1457.93	1622.91	0.12283192418399065	No
{1=1,2, 2=D,I,L, 3=A,C,H,K, 4=E,F,J,M,N,O, 5=B,G}	1680.32	1525.42	0.11068764737812843	No
{1=1,2,J,M,N, 2=A,D,E,F,H,I,L, 4=O, 5=B,K, 8=G, 9=C}	1809.24	1425.71	0.10553065913751533	No
{1=1,2,A, 2=C,D,E,F,I,J,M, 3=B,G,H,K,L,N, 5=O}	2028.35	1757.15	0.09468263867841861	No
{1=1,2,A,M, 2=B,C,D,F, 3=N, 4=E,I,J,K, 5=G,L, 7=H, 8=O}	1530.11	1412.8	0.11782415775508982	No
{1=1, 2=2,L, 3=D,F,I,K, 4=B,C,E,G,J,M, 5=A,H, 6=N, 7=O}	1505.88	1458.03	0.12173061480229555	No
{1=2,I, 2=1, 3=A,B,D,E,F,J,K,L,M,N, 4=G,H,O, 5=C}	1789.44	1632.29	0.10475584553847948	No
{1=1,2,A,M,N, 2=B,F,H,K, 3=C,D,E,G,L, 4=J, 5=I,O}	1958.39	1456.81	0.09714310922826236	No
{1=1,2,I,N, 2=B,C, 3=D,E,F,H,J,K,L, 4=G,M, 5=A, 7=O}	1780.6	1537.71	0.1050353331372341	No
{1=1,2,A, 2=D,H,K, 3=B,L, 4=E,F,I, 5=G,J,M,O, 6=C,N}	1533.62	1284.73	0.11819535448909092	No
{1=1,2,N, 2=A,F,J,K, 3=D, 4=B,C,E,L,M,O, 5=I, 6=H, 9=G}	1519.12	1432.9	0.11944828440089787	No
{1=1, 2=2,B, 3=D,E,F,H,K, 4=A,L,M, 5=C,G,N, 6=I,J,O}	1377.59	1260.44	0.1282391554146426	No
{1=1,2,A,I, 2=B,D,N, 3=E,F,H,J,K,L,O, 4=C,G,M}	1921.02	1601.77	0.0987040574348432	No
{1=1,2,M, 2=A,B,F,I,N, 3=D, 4=C,E,H,J,K,L,O, 9=G}	1629.66	1629.63	0.11216731954798177	No
{1=1,2,A,I, 2=D,E,F,N, 3=B,C,H,J,K,L,O, 4=G,M}	1964.4	1662.0	0.09695826367838667	No
{1=1,2,N, 2=A,B,C,D,E,F,I, 3=J,K, 4=O, 5=G,L,M, 6=H}	1719.46	1367.12	0.106481713093242	No
{1=1,2, 2=C, 3=A,D,E,F,H,I,J,K,M,N, 4=B, 6=G,L,O}	1505.92	1701.94	0.11856331556721217	No
{1=1,2,N, 2=B,D,H,I,J,M, 3=C,E,F,L,O, 4=A,G,K}	1976.01	1530.05	0.09655619840969258	No
{1=1,2,J,M,N, 2=A,E,F,H,I,K,L, 3=C,D, 4=O, 5=B, 8=G}	2026.59	1463.11	0.09581540707838501	No
{1=1,2,J,M, 2=A,B,C,D,E,F,H,I,K,L, 3=N, 5=G, 7=O}	2132.77	1784.4	0.09194434111129375	No
{1=1,2,J, 2=A,E,F,I, 3=G,K,N, 4=L,M, 5=B,C,D,H, 7=O}	1624.36	1265.37	0.11290500689508241	No
{2=1,2,A, 3=B,D,E,F,H,L,M,N, 4=C,O, 5=I,J,K, 7=G}	1493.04	1454.05	0.12028213267342039	No
{1=1,2,N, 2=A,B,C,D, 3=K,O, 4=E,F,H,J,M, 5=G,I, 7=L}	1496.96	1499.49	0.11807255098499538	No
{1=1,2,A,I,N, 2=B,D,H,K,L, 3=F,O, 4=C,G, 5=E, 6=J, 8=M}	1750.96	1160.04	0.10581808299423581	No
{1=1,2,J, 2=A,E,F,H,I,M, 3=L,N, 4=C, 5=B,D,G, 6=K, 7=O}	1648.66	1235.5	0.11148656564558568	No
{1=1,2,I,J, 2=C,D,E,F,H,K, 3=A,B,G,M,N,O, 4=L}	2095.21	1735.53	0.09201756900445157	No
{1=1,2,A,M,N, 2=B,F,H,K, 3=C,D,I,L, 5=J,O, 6=G, 9=E}	1717.76	1328.35	0.10762484808453854	No
{1=1,2,N, 2=A,B,C,D,F,H,I,J,L,M, 3=E, 4=G,K,O}	2076.05	1594.28	0.09322253735698459	No
{0=1,B,C,D,H,K,L,O, 1=2,I, 2=F, 3=A,M,N, 4=E,J, 5=G}	763.24	801.42	0.1578873989824573	No
{1=1,2, 2=F,H,L,N, 3=A,B,C,D,I,J, 4=M, 5=E,G, 7=K, 8=O}	1503.71	1259.58	0.12066863139809417	No
{1=1,2,A,J,M,N, 2=B,E,F,H,I,K,L, 3=C,D, 4=O, 8=G}	2127.38	1571.97	0.09196825430880945	No
{1=1,2, 2=B,C,D,E,F,H,I,J, 3=A,G,K, 4=L,M,N, 6=O}	1877.24	1492.44	0.10008417862587182	No
{1=1,2, 2=A,C,F,H,L,M,N, 3=D,I,J, 5=B,E,G, 7=K, 8=O}	1556.15	1288.49	0.11749144322175369	No
{1=1,2,A,M, 2=D,E,F,H,I,J,L,N, 3=O, 4=B, 5=K, 8=G, 9=C}	1826.01	1447.41	0.10440688851444722	No
{1=1,2,I, 2=E,F,H,J,L, 3=D,G,K, 4=B,C,M,N, 5=A, 6=O}	1864.39	1371.52	0.10208033280476697	No
{1=1,2, 2=E,F,I,J,K,L,M, 3=D,N, 4=B,C,G,H, 5=A, 6=O}	1899.54	1392.83	0.10085824600236588	No
{1=1,2,I,J, 2=A,C,D,E,F,M, 3=G,H,L,N, 4=B,K,O}	2035.03	1444.74	0.09454347375894329	No
{1=1,2,A,I, 2=B,F, 3=D,J,L, 4=E,H,K,M, 5=C,G,N,O}	1670.46	1377.24	0.110156461218559	No
{1=1,2,I,J,M, 2=A,B,C,E,F,H,K,L,N, 3=D, 4=G,O}	2256.96	1668.18	0.0876290965997191	No
{1=1,2,A,J,M,N, 2=B,D,E,F,H,I,K,L, 3=O, 4=C, 5=G}	2248.09	1732.3	0.08809387987221134	No
{1=1,2,I,N, 2=B,D,M, 3=C,E,F,J,L,O, 4=A,G,K, 6=H}	1881.86	1444.94	0.10043130843410547	No
{1=1,2, 2=B,D,H,L,N, 3=I,J, 4=M, 5=F, 6=A,C,G, 7=K, 8=O, 9=E}	1257.86	923.33	0.14131380726782575	No
{1=1,2,J, 2=A,D,E,F,H,I,M,N, 3=B,C,L,O, 5=G, 6=K}	1935.96	1519.1	0.09796662587510584	No
{1=1,2, 2=A,E,F,H,M, 3=I,N, 4=K, 5=B,C,D,J,L, 6=G, 9=O}	1345.19	1352.49	0.13033931544179142	No
{1=1,2,A,I, 2=B,C,E,F,H,J, 3=D,G,K,L, 4=M, 5=N,O}	1973.8	1514.45	0.09633698461873623	No
{1=1,2,I,J, 2=A,E,F,L,M, 3=K,N, 4=C, 5=B,D,H, 6=G, 7=O}	1773.59	1192.07	0.10651112421780153	No
{1=1,2,A, 2=F,H,L,N, 3=C,D,I,J, 4=B,M, 5=E,G, 7=K, 8=O}	1503.76	1140.5	0.12058118272335681	No
{1=1,2, 2=A,B,C,D,E,F,H,I, 3=L, 4=K,N,O, 5=G,J, 6=M}	1715.57	1364.08	0.10677378919910621	No
{1=1,2, 2=A,D,E,F,K, 3=H,I, 4=B,C,G,L,M, 5=N, 6=O, 7=J}	1562.96	1396.77	0.11544466482654175	No
{1=1,2,A, 2=B,F,J,K,L, 3=D,I, 4=E,H, 5=C,G,M,N,O}	1765.38	1268.18	0.10616276588927788	No
{1=1,2,I,N, 2=B,C,F,H,J, 3=D,E,G,K,L, 4=M, 5=A, 7=O}	1892.35	1545.48	0.1000638865920136	No
{1=1,2,N, 2=A,B,C,D,E,F,H,I,K, 3=G,J,L,O, 4=M}	2083.66	1663.86	0.09237182921800857	No
{1=1,2, 2=B,C,D,E,F,H,I,J,K,L,M, 3=A,G,O, 4=N}	2195.41	1792.74	0.08947977148361129	No
{1=1,2,N, 2=B,F,K, 3=D,E,H, 4=L,M, 5=A,G,I, 6=C,J, 7=O}	1468.22	1145.62	0.1220536539487561	No
{1=1,2, 2=D,F,H,M, 3=B,C,I,N, 4=A,K, 5=J,L, 6=G, 9=E,O}	1298.07	1194.34	0.13490253267022315	No
{1=1,2,J,N, 2=B,C,F,H, 3=D,I,K,L, 4=M, 5=A,E,G, 7=O}	1759.53	1321.53	0.10636110871269146	No
{1=1,2,J,M, 2=A,B,D,N, 3=F, 4=C,L,O, 5=E,I,K, 7=G, 9=H}	1553.23	1153.03	0.11725957588072192	No
{1=1,2,A,I,J, 2=D,K,M, 3=C,E,F,H,L,N, 4=B,O, 8=G}	1924.58	1505.73	0.09936703415813618	No
{1=1,2, 2=A,B,C,D,F,I,J,L,M, 3=G,K,N, 5=E,H, 7=O}	1916.1	1437.85	0.10011861829838319	No
{1=1,2,J,M,N, 2=E,F,H,I,L, 3=D, 4=B,C, 5=A,K, 6=O, 8=G}	1804.09	1181.8	0.10516614358917634	No
{1=1,2,I,J, 2=A,E,F,L,M,N, 3=G,K, 4=C, 5=B,D,H, 8=O}	1848.87	1241.67	0.10296200015706167	No
{1=1,2,M, 2=C,D,H,K, 3=L,O, 4=F,I, 5=B,G,J, 6=A,E,N}	1633.89	1086.48	0.11321213452739298	No
{1=1,2,A,M, 2=B,C,E,F,H,K,L,N, 3=D, 4=G,J, 5=I,O}	2021.98	1435.47	0.09517789050626572	No
{1=1,2,J, 2=E,F,H,I,K,M, 3=D,G,L,N, 4=B,C, 5=A, 6=O}	1952.87	1447.23	0.09822324758624436	No
{1=1,2,N, 2=B,C,D,F,H,I,J, 3=A,G,K,L,M,O, 5=E}	2010.23	1721.28	0.0954650745684494	No
{1=1,2,I,N, 2=A,D,H,K, 3=C,F,O, 4=B,G, 5=E, 6=J, 8=M, 10=L}	1267.42	1150.37	0.13190874249734885	No
{1=1,2, 2=C,D,F,H,I,J,L,M, 3=B,K,O, 4=A,G,N, 6=E}	1959.16	1455.51	0.09820514663890405	No
{1=1,2,I,M, 2=B,D,E,F,H,K,N, 3=L, 4=A,C,G,O, 6=J}	1972.79	1506.18	0.09645506782550212	No
{1=1,2,I, 2=B,D,H,M,N, 3=A,F, 4=C,G, 5=E, 6=K,O, 7=J, 8=L}	1298.58	1069.17	0.13152235353217218	No
{1=1,2,A,I, 2=B,D,F,J, 3=G,K,L, 4=H, 5=C,E,M,N,O}	1774.85	1414.84	0.10551269831222845	No
{1=1,2,N, 2=A,D,F,H,I,J,L,M, 3=C,E,O, 4=B,G,K}	2026.2	1457.6	0.09525993111887579	No
{1=1,2,N, 2=A,B,D,H,J,M, 3=C,E,F,L,O, 4=G,K, 10=I}	1803.21	1483.46	0.10403309960566207	No
{1=1,2,A,I,J,N, 2=B,C,D,H,K, 3=F,O, 4=G, 5=E, 8=M, 10=L}	1547.48	1323.72	0.11270456568137355	No
{1=1,2,I,M, 2=B,F,H,J,L, 3=C,D,G,K,N, 4=E, 5=A, 6=O}	2010.12	1467.85	0.09633222786609007	No
{1=1,2,I,M, 2=E,F,J,L, 3=D,K,N, 4=B,C, 5=A, 6=G,H,O}	1822.2	1214.72	0.10454511188403781	No
{1=1,2,M, 2=D,E,F,H,J,K, 3=B,C,I,L,N,O, 4=A, 5=G}	2041.57	1671.2	0.0944872527892952	No
{1=1,2,J,M, 2=A,C,D,F, 3=O, 5=B, 6=E,G,I,N, 7=K, 8=H, 10=L}	1092.04	1162.79	0.15249072950753662	No
{1=1,2,A,N, 2=D,E,I,J,K,L, 3=C,F,H,M, 4=B,G, 5=O}	2023.28	1491.66	0.09551856868439139	No
{1=1,2, 2=A,B,D,F,I,J,K,L,M, 3=E,O, 4=G,H,N, 7=C}	2010.01	1485.53	0.09648839660663358	No
{1=1,2,A,I,J, 2=D, 3=C,E,F,H,K,L,N, 4=B,M,O, 8=G}	1804.42	1477.72	0.10441738440055338	No
{1=1,2, 2=B, 3=A,D,F,I,M,N, 4=C,E,G,J,L,O, 5=K, 9=H}	1470.79	1526.04	0.12128310927173605	No
{1=1,2,I,J,M, 2=E,F,H,K, 3=D,N, 4=B,C,G,L, 5=A, 6=O}	1932.54	1334.78	0.09867363155318917	No
{1=1,2,J, 2=B,D,H,I,K,M,N, 3=A,F,L,O, 4=C,G, 5=E}	2024.7	1475.17	0.09536765348161454	No
{1=1,2, 2=C,D,H,K,L, 3=A,F,I, 4=E,G,J,M,N, 5=B, 6=O}	1735.56	1432.44	0.10802480355218047	No
{1=1,2,A,M,N, 2=B,D,F,H,K, 3=C,E,G,L, 4=J, 5=I,O}	1987.29	1427.47	0.09621438607685079	No
{1=1,2, 2=D,F,L,N, 3=A,B,C,H,I,J, 4=M, 5=E,G, 7=K, 8=O}	1511.26	1251.57	0.12057099538154384	No
{1=1,2,M, 2=B,C,D,E,F,H,I,J,L, 3=A,G,K,N, 6=O}	2119.43	1641.38	0.09228197149877478	No
{1=1,2,I,J,M, 2=A,D,E,F,H,K,N, 3=B,C,L, 4=O, 6=G}	2121.35	1560.09	0.09181849825486978	No
{1=1,2,A,J,M,N, 2=B,F,H,I,L, 3=D, 4=E,O, 5=C,K, 8=G}	1894.32	1208.85	0.10080792329465095	No
{1=1,2,A,M,N, 2=B,C,D,E,F,H,I,J,L, 3=G,K, 5=O}	2205.67	1655.86	0.08914401985607671	No
{1=1,2,A,I, 2=C,D,E,F,H,J,K,L, 3=G, 4=M,N, 5=B, 6=O}	2006.97	1530.99	0.09612171926381734	No
{1=1,2,I,J,M, 2=B,C,E,F,H,L, 3=D,G,K,N, 5=A, 6=O}	2129.39	1533.44	0.09205369116397588	No
{1=1,2,N, 2=B,C,D,E,F,I, 3=J,K, 4=O, 5=A,G,L,M, 6=H}	1677.64	1364.85	0.10890274295298112	No
{1=1,2, 3=A,F,I,K,N, 4=E,G,J,L,M, 5=B,C,D,H, 7=O}	1356.02	1498.25	0.13058178163790057	No
{1=1,2,I,N, 2=A,B,D,H,K,L, 3=C,F,O, 4=E,G, 6=J, 8=M}	1785.4	1241.23	0.10405001804326199	No
