Plan	Expected NPV	Expected Cost	Investment Risk	Pareto?
{1=F,H, 2=B, 3=A,D, 4=C,E,G,I, 5=J}	6034.27	1891.85	0.04615546642765009	No
{1=F,H, 2=B, 3=I, 4=A,D, 5=C, 6=E,J, 11=G}	5285.71	1253.4	0.04958060300498917	No
{1=H, 2=D, 3=A,B,F, 4=C, 5=G, 7=I, 8=E, 9=J}	5635.06	1368.54	0.048825249431214766	No
{1=F,H, 3=B,D,I, 5=A,E, 6=C, 8=G,J}	5368.3	1463.66	0.049937955899227546	No
{1=H,I, 2=A,B, 3=D,F, 4=C,G, 5=E, 6=J}	5993.1	1737.73	0.046323501389856456	No
{1=F,H,I, 2=B, 3=A, 4=D, 5=G, 6=E, 7=C, 8=J}	5534.45	1136.09	0.049000124141023824	No
{1=H,I, 2=A,B, 3=D,F, 4=C, 5=E,G,J}	5949.17	1629.88	0.04642089578624163	No
{1=F,H, 2=A,I, 3=B,D, 4=C,G, 5=E,J}	6017.14	1740.55	0.04630138497114041	No
{2=F,H, 3=D,I, 4=A,B, 6=C,E, 7=J, 8=G}	5230.43	1427.29	0.050911292279032745	No
{1=F,H, 2=B, 3=A,D, 4=C,I, 5=E, 7=G, 9=J}	5694.13	1371.05	0.047772397546288925	No
{1=H, 2=B, 3=I, 4=D,F, 5=A, 6=G, 7=C, 8=E, 9=J}	5162.11	1115.06	0.05127170620326115	No
{1=F,H, 2=A,D, 3=B,I, 4=C,E, 5=G,J}	6041.52	1520.91	0.04634529455923167	No
{1=H, 2=F, 3=D, 4=A, 5=B, 6=C,E,G, 7=J, 9=I}	5246.58	1469.3	0.051226337133739114	No
{1=H, 2=B, 3=A,D,F, 4=C, 5=G,I, 6=J, 7=E}	5753.85	1457.41	0.04765756170737912	No
{1=F,H, 2=B, 3=A,D,I, 5=C,E, 6=J, 8=G}	5632.08	1486.16	0.04808205801873384	No
{1=F,H, 2=B, 3=A,D, 4=E,G, 5=C,I, 7=J}	5869.31	1517.73	0.04726058540914069	No
{1=H, 2=A,D, 3=B,F,I, 4=C,E,G, 8=J}	5952.77	1896.43	0.04690158478155402	No
{1=F,H, 2=A,D, 3=B, 4=C,G, 5=E,I,J}	6041.95	1612.84	0.04651836192025765	No
{2=F,I, 3=H, 4=A,B, 5=D, 6=E,G, 7=C, 10=J}	4985.84	1387.97	0.05247298810952283	No
{1=H,I, 2=A,B,F, 3=D, 4=C,E, 8=G, 10=J}	5680.81	1459.64	0.04765923633138901	No
{1=F,H,I, 2=B,D, 4=A, 5=C,G, 6=J, 7=E}	5887.11	1616.67	0.047388608390483616	No
{1=F,H, 2=B, 3=A,D, 4=G, 5=C,E, 6=J, 8=I}	5805.86	1442.64	0.047682242786937265	No
{1=F,H,I, 2=B, 3=A,D, 4=C,E,G, 5=J}	6098.23	1828.27	0.045816614913252944	No
{1=F,H, 2=B,D, 3=A, 4=C,G,I, 6=J, 7=E}	6014.67	1674.42	0.04667975757188778	No
{1=H,I, 2=A,B,F, 3=D, 4=C,G, 8=E, 10=J}	5849.69	1697.34	0.04729107531526512	No
{1=H, 2=D, 3=A,B,F, 6=E,G, 7=I, 8=C, 10=J}	5229.88	1530.41	0.05168080705477582	No
{1=F,H,I, 2=B,D, 3=A, 4=G, 5=C, 6=J, 7=E}	5986.67	1302.28	0.04693095854239421	No
{1=H,I, 2=A, 3=D, 4=B,F, 5=C,E, 7=G,J}	5502.53	1430.96	0.04895074946850682	No
{1=H, 2=B,F, 3=A,D, 4=E, 5=C,I, 6=G, 7=J}	5688.59	1384.74	0.04796867626813152	No
{2=H,I, 3=B,F, 4=A,D, 5=C,E, 6=J, 7=G}	5398.95	1473.98	0.0493043924802369	No
{1=F,H, 2=A, 3=B,D, 4=E,I, 5=C, 6=G,J}	5744.06	1389.15	0.04764250689952911	No
{1=F,H, 2=A,B, 3=D, 4=C,G,I, 5=E,J}	6036.45	1720.42	0.046167969942001286	No
{1=H,I, 2=A,B,F, 3=D, 4=C, 5=E,J, 6=G}	5919.69	1334.76	0.046450846045172155	No
{1=H, 2=B,D, 3=A,F,I, 5=C,E, 6=J, 8=G}	5639.49	1479.08	0.04827445947924384	No
{1=F,H, 2=D, 4=B, 5=A,E,I, 6=C, 7=J, 8=G}	5379.01	1199.88	0.05030240765485464	No
{1=H, 2=A,F, 3=B,D, 4=C,G, 5=I,J, 6=E}	5885.3	1736.71	0.04703050791680609	No
{1=H, 2=B, 3=A,D,F, 4=C,G, 5=I, 6=E,J}	5851.19	1744.52	0.04719664534856951	No
{1=F,H, 2=A,I, 3=B,D, 4=E, 5=C,G, 9=J}	5779.25	1708.75	0.047695052273733225	No
{1=H, 2=B, 3=D, 4=A,F, 6=C, 7=E,G,I, 10=J}	5217.98	1365.75	0.05105159065692207	No
{1=F,H, 3=B,D,I, 5=A,E, 6=C, 7=J, 8=G}	5394.07	1377.31	0.04976514302601753	No
{1=H,I, 2=A,B, 3=F, 4=D, 5=E,G, 6=C, 15=J}	5426.94	1336.41	0.04975664551975611	No
{1=H,I, 2=B,F, 3=A,D, 4=C,E,G, 8=J}	5979.59	1868.75	0.046442430574477764	No
{1=H, 2=A,I, 3=B,F, 5=D, 6=E, 8=C, 10=J, 12=G}	4695.7	1214.5	0.05377117364691632	No
{1=H, 2=B, 3=A,D,F, 4=C,E,G,I, 6=J}	5926.96	1972.83	0.04666259741804086	No
{1=F,H, 2=B,D, 4=A, 5=C,I, 7=E,G, 11=J}	5535.7	1403.34	0.04938508469153493	No
{1=F,H, 2=A,D, 3=B,I, 4=C,G, 5=E,J}	6084.09	1673.6	0.046265598099917954	No
{1=F,H,I, 3=A,B, 4=D, 5=C,E,G, 6=J}	5733.41	1789.44	0.047622043376162715	No
{1=F,H,I, 2=B,D, 3=A, 4=C, 5=J, 6=E,G}	5992.25	1345.15	0.0464799238378562	No
{1=F,H, 2=A,B,I, 3=D, 5=C,E,G, 7=J}	5865.12	1816.05	0.04716834071153838	No
{1=F,H, 2=A,D,I, 3=B, 4=C, 6=E,G,J}	5912.52	1543.64	0.04697878076552287	No
{1=H, 2=A,D, 3=B,F,I, 4=C,E, 5=G,J}	5960.39	1601.88	0.04668764240769639	No
{1=H, 2=A,D, 3=B,F, 4=E,I, 5=C, 6=G,J}	5751.46	1382.07	0.04782310809385191	No
{1=H, 2=B,F, 3=D, 4=A, 7=C,G,I, 9=E, 10=J}	5153.87	1526.18	0.05165804870489313	No
{1=H, 2=B,F,I, 3=A,D, 4=C,E, 5=G,J}	5965.93	1595.58	0.04635767898300101	No
{1=F,H,I, 3=B,D, 4=A, 5=C,E, 6=G,J}	5721.3	1460.46	0.047831570827907934	No
{1=H, 2=D, 3=A,B,I, 4=F, 5=G, 6=E, 8=C, 10=J}	5342.96	1265.05	0.05097877947309183	No
{1=H, 2=B,F, 3=A,D, 4=C,E, 5=J, 7=G,I}	5721.69	1500.55	0.047466402522351625	No
{1=F,H, 2=B,D, 3=A, 5=C, 6=I, 8=G, 9=E,J}	5472.54	1227.95	0.04959529172750647	No
{1=F,H,I, 2=A,D, 3=B, 5=C, 7=J, 8=G, 9=E}	5597.36	1273.5	0.04873977884236718	No
{1=F,H, 2=B,I, 3=A,D, 4=C, 5=G,J, 9=E}	5871.26	1460.09	0.047038078709406086	No
{1=F,H, 2=A,B, 3=D, 4=E,G,I, 6=C, 15=J}	5628.81	1536.68	0.04896813944776957	No
{1=H, 2=B,F, 3=A,D,I, 4=C,E,G, 6=J}	5988.27	1911.22	0.04638689398531351	No
{1=F,H, 2=A,D, 3=B,I, 5=C, 7=E,J, 11=G}	5405.48	1310.72	0.04957115882158436	No
{1=F,H,I, 3=B, 4=A,D, 5=C,E,G, 6=J}	5703.94	1818.75	0.04780812450416606	No
{2=H,I, 3=F, 4=A, 5=B,D, 6=C,E, 7=G, 10=J}	4968.89	1373.67	0.05241746312541737	No
{1=H, 2=B,F, 3=A,D, 4=C,E,G, 5=I, 7=J}	5920.35	1845.85	0.04681307122717806	No
{1=F,H, 2=A,B, 3=D,I, 4=G, 5=C,E, 7=J}	5913.63	1461.48	0.04700991786594098	No
{1=F,H, 2=A,I, 3=B,D, 4=C, 5=J, 6=E,G}	5850.15	1465.92	0.046972508410400335	No
{1=H,I, 2=A,F, 3=B,D, 4=C, 5=G, 7=J, 8=E}	5794.23	1408.42	0.047458438828229775	No
{1=F,H, 3=A,D, 4=B, 5=C,E, 6=J, 7=G, 8=I}	5473.17	1363.24	0.04932965184701138	No
{1=F,H, 2=B,I, 3=A,D, 4=C,G, 5=J, 9=E}	5941.36	1707.73	0.04675668566203412	No
{1=H, 2=B,D, 3=A,F, 4=C,E,G,I, 6=J}	6015.5	1884.77	0.04648700567953809	No
{1=F,H, 2=A, 3=B,D,I, 4=C,G, 7=J, 9=E}	5835.54	1761.59	0.04743197913138886	No
{1=H, 2=A, 3=D,I, 4=B,F, 5=C,E, 6=J, 7=G}	5485.45	1387.04	0.049044298836868574	No
{1=F,H, 2=A,D, 3=B,I, 4=C, 5=E, 6=G, 7=J}	5892.34	1314.63	0.04710381122499083	No
{1=H,I, 3=A,B, 5=D, 6=F, 7=C,E,G, 13=J}	4893.96	1663.07	0.052862067421394106	No
{1=H, 2=A,F, 3=B, 4=D,I, 5=C, 6=G,J, 7=E}	5534.11	1346.35	0.04862113711708238	No
{1=H, 2=B,D, 3=A,F, 4=C,I, 5=J, 6=G, 8=E}	5793.14	1364.69	0.047505779175846384	No
{1=F,H, 2=A,B,I, 3=D, 4=G, 6=C, 9=E,J}	5684.35	1360.78	0.04851132190424703	No
{1=H, 2=A,F, 3=B,D, 4=C,G,I, 5=J, 6=E}	5906.34	1823.19	0.04686011804371898	No
{1=F,H,I, 2=B,D, 3=A, 4=C, 5=E,G, 8=J}	6011.42	1372.04	0.046576463955125054	No
{1=H, 2=A,F, 3=B,D, 4=C,G,I, 5=E, 8=J}	5855.81	1823.19	0.04718131466498519	No
{1=H,I, 2=A,B,F, 3=D, 4=C,G, 5=E, 15=J}	5807.66	1697.34	0.04769092455542641	No
{1=H, 2=A,F,I, 3=B,D, 4=C, 5=J, 6=E,G}	5809.23	1506.4	0.04713893791974355	No
{1=H, 2=D,F, 3=A,B, 5=E,G,I, 8=C, 9=J}	5433.57	1578.27	0.05042653748571821	No
{1=F,H,I, 2=A,B, 3=D, 4=G, 5=E, 6=C, 15=J}	5665.23	1334.76	0.04878742932032593	No
{1=F,H,I, 2=A,B, 3=D, 5=C,E, 6=G, 7=J}	5816.7	1418.75	0.047258490151377675	No
{1=H,I, 2=B, 3=A,D, 4=F, 5=G, 7=C,E, 8=J}	5473.0	1330.9	0.049577171117598455	No
{1=H, 3=B, 4=A,D,F, 5=C, 6=G, 7=J, 8=E, 9=I}	5239.16	1386.35	0.05065915316069413	No
{1=F,H, 2=A,I, 4=B,D, 5=C, 6=E,J, 7=G}	5514.06	1372.94	0.04868739671780296	No
